,Country,2021 r.,Rate_1,Rate_2,Rate_PKB,Users_rate_avg,Capital,Coordinates,User_coordinates,Distance,Distance_rate,Summary
136,Gwinea Bissau,878.0,2.0,2.0,4.9678861164146575,2.0,Bissau,"11°52′N, 15°36′W","52°13′56″N, 21°00′30″E",5546.800459900642,3.4322339713238756,10.400120087738532
137,Saint Vincent i Grenadyny,7877.0,2.0,4.0,4.711889452162018,3.0,Kingstown,"13°09′39″N, 61°13′34″W","52°13′56″N, 21°00′30″E",8334.785291435715,2.644228716953628,10.356118169115646
138,Saint Lucia,9755.0,3.0,3.0,4.643199391372411,3.0,Castries,"14°01′N, 60°59′W","52°13′56″N, 21°00′30″E",8244.738571204387,2.669679819799846,10.312879211172257
139,Tonga,5002.0,5.0,5.0,4.817045961624275,5.0,Nukuʻalofa,"21°08′S, 175°12′W","52°13′56″N, 21°00′30″E",16283.080452557442,0.39769628270040935,10.214742244324682
140,Kostaryka,12408.0,4.0,3.0,4.546162793249501,3.5,San José,"9°55′29″N, 84°04′41″W","52°13′56″N, 21°00′30″E",10149.236721410212,2.1313861632757938,10.177548956525294
141,Jordania,4417.0,1.0,1.0,4.838443025288769,1.0,Amman,"31°57′N, 35°56′E","52°13′56″N, 21°00′30″E",2557.5060906417884,4.277138019291161,10.11558104457993
142,Bangladesz,2147.0,2.0,2.0,4.9214709475424465,2.0,Dhaka,"23°44′N, 90°23′E","52°13′56″N, 21°00′30″E",6565.015998922813,3.144442163507933,10.06591311105038
143,Irak,5088.0,1.0,1.0,4.813900410384708,1.0,Bagdad,"33°20′N, 44°23′E","52°13′56″N, 21°00′30″E",2814.8481206493366,4.2044020167410325,10.01830242712574
144,Gwatemala,4674.0,3.0,3.0,4.829042947747274,3.0,Gwatemala,"14°37′N, 90°31′W","52°13′56″N, 21°00′30″E",10134.699659881886,2.1354949664291873,9.96453791417646
145,Kolumbia,6156.0,3.0,3.0,4.774837053130555,3.0,Bogota,"4°35′56″N, 74°04′51″W","52°13′56″N, 21°00′30″E",9953.276518768682,2.186773003111634,9.96161005624219
146,Czad,697.0,1.0,1.5,4.974506404488628,1.25,Ndżamena,"12°06′17″N, 15°02′40″E","52°13′56″N, 21°00′30″E",4482.671724948911,3.733002836700603,9.957509241189232
147,Benin,1398.0,1.0,2.0,4.94886650426844,1.5,Porto-Novo,"6°28′34,831″N, 2°37′10,150″E","52°13′56″N, 21°00′30″E",5345.636934507658,3.489091495512784,9.937957999781224
148,Lesotho,1181.0,1.0,4.0,4.9568035347217645,2.5,Maseru,"29°20′S, 27°30′E","52°13′56″N, 21°00′30″E",9057.597717217366,2.439930622144255,9.89673415686602
149,Katar,68581.0,2.0,5.0,2.4915691911544173,3.5,Doha,"25°18′N, 51°32′E","52°13′56″N, 21°00′30″E",3940.209558535744,3.8863261376725386,9.877895328826956
150,Bhutan,3185.0,1.0,2.5,4.883504875604421,1.75,Thimphu,"27°27′00″N, 89°40′12″E","52°13′56″N, 21°00′30″E",6214.47060745638,3.2435214724217953,9.877026348026217
151,Malawi,567.0,2.0,2.0,4.979261307525183,2.0,Lilongwe,"13°59′S, 33°47′E","52°13′56″N, 21°00′30″E",7438.465065465828,2.8975676303055007,9.876828937830684
152,Fidżi,5147.0,5.0,4.0,4.811742415929657,4.5,Suva,"18°08′S, 178°26′E","52°13′56″N, 21°00′30″E",15741.397635516136,0.5507993057880933,9.86254172171775
153,Komory,1406.0,1.0,3.0,4.948573894850806,2.0,Moroni,"11°42′S, 43°15′E","52°13′56″N, 21°00′30″E",7398.058097626678,2.9089883893463195,9.857562284197126
154,Kirgistan,1283.0,1.0,1.0,4.95307276464693,1.0,Biszkek,"42°52′N, 74°34′E","52°13′56″N, 21°00′30″E",4063.672538998188,3.8514301525064183,9.804502917153348
155,Sudan,773.0,1.0,1.0,4.971726615021105,1.0,Chartum,"15°30′N, 32°33′E","52°13′56″N, 21°00′30″E",4201.160422342197,3.812570122400849,9.784296737421954
156,Erytrea,631.0,1.0,1.0,4.97692043218411,1.0,Asmara,"15°20′N, 38°55′E","52°13′56″N, 21°00′30″E",4389.869966812682,3.7592326325728713,9.73615306475698
157,Laos,2514.0,2.0,2.0,4.908047490508482,2.0,Wientian,"17°58′N, 102°35′E","52°13′56″N, 21°00′30″E",7879.405672225181,2.7729387187485246,9.680986209257007
158,Jemen,712.0,1.0,1.0,4.973957761830564,1.0,Sana,"15°21′N, 44°12′E","52°13′56″N, 21°00′30″E",4577.159967727518,3.706296367230768,9.680254129061332
159,Niger,595.0,1.0,1.0,4.978237174563463,1.0,Niamey,"13°31′N, 2°07′E","52°13′56″N, 21°00′30″E",4613.368220985238,3.6960623467669826,9.674299521330447
160,Timor Wschodni,1758.0,4.0,2.0,4.9356990804749055,3.0,Dili,"8°33′31″S, 125°34′25″E","52°13′56″N, 21°00′30″E",11747.783244718348,1.6795676865488134,9.61526676702372
161,Arabia Saudyjska,23507.0,0.0,3.0,4.140203802459382,1.5,Rijad,"24°42′42″N, 46°43′37″E","52°13′56″N, 21°00′30″E",3748.706555982108,3.9404531797328266,9.58065698219221
162,Barbados,16875.0,2.0,3.0,4.3827770096780565,2.5,Bridgetown,"13°06′21″N, 59°36′47″W","52°13′56″N, 21°00′30″E",8229.347778718738,2.6740299242948318,9.556806933972888
163,Iran,16784.0,1.0,1.0,4.386105441803644,1.0,Teheran,"35°42′N, 51°25′E","52°13′56″N, 21°00′30″E",3017.2858192439867,4.14718435602393,9.533289797827575
164,Republika Środkowoafrykańska,525.0,1.0,1.0,4.980797506967762,1.0,Bangi,"4°22′N, 18°35′E","52°13′56″N, 21°00′30″E",5311.061295326581,3.498864068533885,9.479661575501646
165,Sudan Południowy,364.0,1.0,1.0,4.986686271497648,1.0,Dżuba,"4°51′N, 31°36′E","52°13′56″N, 21°00′30″E",5342.930342734222,3.4898564955639966,9.476542767061645
166,Dżibuti,3581.0,1.0,1.0,4.869020709431533,1.0,Dżibuti,"11°36′N, 43°10′E","52°13′56″N, 21°00′30″E",4926.8150464878145,3.6074686992449823,9.476489408676516
167,Surinam,4681.0,2.0,2.0,4.828786914506844,2.0,Paramaribo,"5°49′25″N, 55°10′11″W","52°13′56″N, 21°00′30″E",8557.726592852863,2.581215850116715,9.41000276462356
168,Wenezuela,1686.0,1.0,3.0,4.938332565233612,2.0,Caracas,"10°30′N, 66°55′W","52°13′56″N, 21°00′30″E",8952.367586983728,2.469673214214426,9.408005779448038
169,Somalia,487.0,1.0,1.0,4.982187401701524,1.0,Mogadiszu,"2°04′N, 45°22′E","52°13′56″N, 21°00′30″E",6003.23642549231,3.303225400293827,9.285412801995351
